0,2017-03-28 10:08:04.750961
1,2017-03-28 10:09:29.093067
2,2017-03-28 10:10:03.719753
3,2017-03-28 10:10:21.859541
4,2017-03-28 10:10:31.126379
5,2017-03-28 10:11:08.241692
6,2017-03-28 10:11:08.862203
7,2017-03-28 10:11:21.762600
8,2017-03-28 10:11:57.851335
9,2017-03-28 10:13:36.111429
10,2017-03-28 10:14:22.392158
11,2017-03-28 10:14:34.189162
12,2017-03-28 10:14:58.263519
13,2017-03-28 10:15:28.270402
14,2017-03-28 10:16:15.671597
15,2017-03-28 10:16:19.111343
16,2017-03-28 10:16:24.485137
17,2017-03-28 10:16:37.068764
18,2017-03-28 10:16:41.169035
19,2017-03-28 10:17:17.814388
20,2017-03-28 10:17:18.067119
21,2017-03-28 10:17:22.338204
22,2017-03-28 10:18:03.816228
23,2017-03-28 10:18:04.687029
24,2017-03-28 10:18:45.397904
25,2017-03-28 10:19:02.554355
26,2017-03-28 10:19:13.037546
27,2017-03-28 10:19:16.036968
28,2017-03-28 10:20:09.524908
29,2017-03-28 10:20:27.797564
30,2017-03-28 10:20:34.344084
31,2017-03-28 10:21:38.238250
32,2017-03-28 10:21:48.571138
33,2017-03-28 10:21:55.818700
34,2017-03-28 10:22:00.408636
35,2017-03-28 10:22:47.559552
36,2017-03-28 10:23:05.690247
37,2017-03-28 10:23:25.623025
38,2017-03-28 10:23:32.099094
39,2017-03-28 10:24:15.426880
40,2017-03-28 10:24:18.385627
41,2017-03-28 10:25:34.860908
42,2017-03-28 10:27:03.151673
43,2017-03-28 10:27:03.465328
44,2017-03-28 10:27:31.853821
45,2017-03-28 10:27:32.387015
46,2017-03-28 10:27:32.871037
47,2017-03-28 10:29:03.252356
48,2017-03-28 10:29:36.914018
49,2017-03-28 10:30:05.198693
50,2017-03-28 10:31:21.858064
51,2017-03-28 10:32:50.351820
52,2017-03-28 10:33:10.268639
53,2017-03-28 10:33:11.183576
54,2017-03-28 10:33:11.743465
55,2017-03-28 10:33:17.051180
56,2017-03-28 10:34:40.414721
57,2017-03-28 10:35:32.925312
58,2017-03-28 10:35:40.347055
59,2017-03-28 10:36:46.149677
60,2017-03-28 10:37:46.060300
61,2017-03-28 10:38:15.546532
